state,chi
Andhra Pradesh,1.2542178407e-10
Jammu & Kashmir,0.100293798111
Himachal Pradesh,0.0
Punjab,0.204887145424
Chandigarh,0.000190207732296
Uttarakhand,0.0
Haryana,8.36000196025e-06
Delhi,0.0
Rajasthan,0.0
Uttar Pradesh,0.0
Sikkim,0.0697645483885
Arunanchal Pradesh,0.835370312598
Nagaland,0.875511085379
Manipur,0.0046569726973
Mizoram,9.92990611959e-09
Tripura,0.00168641208622
Meghalaya,0.415150229493
Assam,5.54520585005e-09
Bihar,0.0
West Bengal,0.0
Jharkhand,0.0
Odisha,0.0
Chhattisgarh,0.0
Madhya Pradesh,0.0
Gujarat,0.0214987986746
Daman & Diu,0.0120353361388
Dadara & Nagar Havelli,0.0
Maharashtra,0.0
Goa,0.0
Karnataka,0.99377746794
Lakshadweep,1.0
Kerala,0.000258339575136
Tamil Nadu,0.0
Puducherry,0.290218448014
