state,chi
Andhra Pradesh,0.0
Jammu & Kashmir,0.0
Himachal Pradesh,0.0
Punjab,1.0
Chandigarh,7.74935671188e-14
Uttarakhand,0.0
Haryana,1.59190771676e-10
Delhi,0.0
Rajasthan,0.0
Uttar Pradesh,0.0
Sikkim,2.08759897147e-08
Arunanchal Pradesh,0.00257822982624
Nagaland,5.81581108827e-08
Manipur,0.000109204552026
Mizoram,2.33250973292e-06
Tripura,2.09447636412e-06
Meghalaya,2.92228314214e-07
Assam,0.0
Bihar,0.0
West Bengal,0.0
Jharkhand,0.0
Odisha,0.0
Chhattisgarh,0.0
Madhya Pradesh,0.0
Gujarat,0.107676438224
Daman & Diu,0.238498210411
Dadara & Nagar Havelli,0.0
Maharashtra,0.0
Goa,0.0
Karnataka,0.110378541756
Lakshadweep,1.0
Kerala,0.0
Tamil Nadu,0.0
Puducherry,6.90508104917e-07
