state,chi
Andhra Pradesh,1.34559030585e-13
Jammu & Kashmir,0.0687364280279
Himachal Pradesh,0.0
Punjab,0.204887145424
Chandigarh,9.45368185511e-05
Uttarakhand,0.0
Haryana,1.26996218661e-05
Delhi,0.0
Rajasthan,0.0
Uttar Pradesh,0.0
Sikkim,0.0465908324482
Arunanchal Pradesh,0.0763315709166
Nagaland,0.826383757697
Manipur,0.00124520545003
Mizoram,1.0
Tripura,0.00138121710527
Meghalaya,0.0446505318051
Assam,4.78022288419e-10
Bihar,0.0
West Bengal,0.0
Jharkhand,0.0
Odisha,0.0
Chhattisgarh,0.0
Madhya Pradesh,0.0
Gujarat,0.0214987986746
Daman & Diu,0.0103492013251
Dadara & Nagar Havelli,0.0
Maharashtra,0.0
Goa,0.0
Karnataka,0.999439927412
Lakshadweep,1.0
Kerala,5.81151760382e-07
Tamil Nadu,0.0
Puducherry,0.290218448014
