state,chi
Andhra Pradesh,0.0
Jammu & Kashmir,0.0
Himachal Pradesh,0.0
Punjab,0.166655503105
Chandigarh,2.79121170621e-12
Uttarakhand,0.0
Haryana,0.0
Delhi,0.0
Rajasthan,0.0
Uttar Pradesh,3.33066907388e-16
Sikkim,3.25100051324e-08
Arunanchal Pradesh,0.0
Nagaland,3.83693711914e-07
Manipur,6.63302679338e-07
Mizoram,3.33689327281e-08
Tripura,0.00219697307164
Meghalaya,0.0
Assam,0.0
Bihar,0.0
West Bengal,0.0
Jharkhand,0.0
Odisha,0.0
Chhattisgarh,0.0
Madhya Pradesh,0.0
Gujarat,0.00662203185386
Daman & Diu,1.8672349289e-07
Dadara & Nagar Havelli,0.0
Maharashtra,0.0
Goa,0.0
Karnataka,2.30638005028e-07
Lakshadweep,1.0
Kerala,0.0
Tamil Nadu,0.0
Puducherry,0.164703205799
